epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4465,1.51994,4.3043,1.36882,0.01179,0.47429,0.13666,0.09413,1.5785,4.57426,1.27225,6.25e-06,6.25e-06,6.25e-06
2,73.3269,1.7055,4.39942,1.47938,0.0123,0.47429,0.14129,0.0922,1.54802,4.58531,1.27694,1.83788e-05,1.83788e-05,1.83788e-05
3,94.2841,1.58809,4.30423,1.39196,0.01278,0.47429,0.14153,0.08858,1.50702,4.59818,1.27043,3.00125e-05,3.00125e-05,3.00125e-05
4,116.18,1.48147,4.36643,1.33862,0.01351,0.47429,0.31688,0.14218,1.48002,4.6169,1.26153,4.11512e-05,4.11512e-05,4.11512e-05
5,137.525,1.52511,4.26852,1.30774,0.01891,0.48857,0.19314,0.10539,1.43322,4.62071,1.25677,5.1795e-05,5.1795e-05,5.1795e-05
6,159.855,1.38192,4.17412,1.27048,0.01858,0.48857,0.17992,0.11302,1.4159,4.60006,1.2433,6.19438e-05,6.19438e-05,6.19438e-05
7,181.225,1.46712,4.23519,1.26908,0.01804,0.48857,0.17817,0.1155,1.41109,4.57085,1.22661,7.15975e-05,7.15975e-05,7.15975e-05
8,202.334,1.4016,4.05923,1.24924,0.02302,0.54286,0.18948,0.12232,1.41639,4.53842,1.20578,8.07563e-05,8.07563e-05,8.07563e-05
9,223.364,1.31775,3.8337,1.20674,0.03412,0.58571,0.20043,0.12614,1.43797,4.51411,1.19945,8.942e-05,8.942e-05,8.942e-05
10,244.912,1.33802,3.81832,1.20635,0.03298,0.58571,0.20437,0.13131,1.45362,4.4971,1.19677,9.75888e-05,9.75888e-05,9.75888e-05
11,266.527,1.2389,3.74237,1.18759,0.0281,0.57143,0.18626,0.12864,1.45524,4.49282,1.19742,0.000105263,0.000105263,0.000105263
12,287.617,1.28452,3.55052,1.181,0.03392,0.6,0.18621,0.12303,1.46435,4.47401,1.20414,0.000112441,0.000112441,0.000112441
13,309.313,1.25202,3.52844,1.1992,0.03526,0.61429,0.1873,0.11835,1.47706,4.45844,1.22125,0.000119125,0.000119125,0.000119125
14,330.931,1.26853,3.30536,1.23245,0.03461,0.62857,0.19906,0.12851,1.47549,4.48315,1.21307,0.000125314,0.000125314,0.000125314
15,351.775,1.12534,3.13456,1.09684,0.03533,0.54286,0.22679,0.1346,1.50531,4.48642,1.2455,0.000131008,0.000131008,0.000131008
16,373.698,1.14761,3.05157,1.15142,0.03585,0.64286,0.24162,0.14268,1.52558,4.491,1.26252,0.000136206,0.000136206,0.000136206
17,397.175,1.29955,2.7753,1.24657,0.03456,0.64286,0.25041,0.13516,1.53802,4.48783,1.26485,0.00014091,0.00014091,0.00014091
18,420.551,1.19774,2.68287,1.15281,0.03864,0.65714,0.25237,0.13115,1.53326,4.48526,1.23765,0.000145119,0.000145119,0.000145119
19,443.642,1.25587,2.45743,1.15186,0.03863,0.65714,0.27665,0.14461,1.54602,4.42839,1.2321,0.000148833,0.000148833,0.000148833
20,466.403,1.16911,2.38634,1.19399,0.03968,0.65714,0.3111,0.16787,1.55797,4.34111,1.22366,0.000152051,0.000152051,0.000152051
21,490.391,1.40503,2.39778,1.23387,0.03794,0.64286,0.35406,0.20686,1.59389,4.33149,1.21952,0.000154775,0.000154775,0.000154775
22,514.933,1.23525,2.21386,1.11167,0.03729,0.64286,0.31363,0.16538,1.64045,4.34347,1.23767,0.000157004,0.000157004,0.000157004
23,539.337,1.18049,2.06678,1.16334,0.03758,0.64286,0.24163,0.12645,1.63624,4.36592,1.24943,0.000158738,0.000158738,0.000158738
24,564.135,0.91535,2.27985,1.08823,0.03442,0.62857,0.20442,0.09728,1.60776,4.3921,1.24241,0.000159976,0.000159976,0.000159976
25,590.058,1.05131,1.93212,1.10233,0.03467,0.62857,0.21314,0.0974,1.58491,4.41493,1.2419,0.00016072,0.00016072,0.00016072
